Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
140403991;140403991;En ligne;0005;C5;1;;48.109736,-1.680204;-22
184067429;184067429;En ligne;0011;11;1;;48.10984,-1.684844;-89
184668302;184668302;Hors-service;;;;;48.109513,-1.641636;
140804573;140804573;Hors-service;;;;;48.110472,-1.644749;
183666847;183666847;Hors-service;;;;;48.110397,-1.641633;
183867138;183867138;Hors-service;;;;;48.110072,-1.643475;
141004864;141004864;Hors-service;;;;;48.109918,-1.640756;
183266265;183266265;Hors-service;;;;;48.110159,-1.643792;
182665392;182665392;En ligne;0011;11;0;;48.102498,-1.72442;57
141205155;141205155;En ligne;0003;C3;0;;48.1388,-1.659227;0
182264810;182264810;Hors-service;;;;;48.110715,-1.642037;
182465101;182465101;En ligne;0011;11;0;;48.104905,-1.647866;-7
141405446;141405446;En ligne;0001;C1;0;;48.089342,-1.621876;-41
182064519;182064519;En ligne;0053;53;0;;48.119546,-1.762457;-175
181663937;181663937;Hors-service;;;;;48.110312,-1.642191;
141605737;141605737;En ligne;0004;C4;1;;48.135681,-1.693075;0
181864228;181864228;Hors-service;;;;;48.11056,-1.642751;
181463646;181463646;Hors-service;;;;;48.051996,-1.717716;
141806028;141806028;En ligne;0003;C3;0;;48.112511,-1.66707;17
181263355;181263355;Hors-service;;;;;48.051915,-1.717708;
180862773;180862773;Hors-service;;;;;48.10992,-1.641147;
142206610;142206610;Hors-service;;;;;48.110478,-1.641626;
180462191;180462191;Hors-service;;;;;48.098953,-1.632836;
180662482;180662482;En ligne;0072;72;1;;48.085825,-1.695254;83
190276450;190276450;Hors-service;;;;;48.064476,-1.703229;
180261900;180261900;Hors-service;;;;;48.110476,-1.643066;
166441821;166441821;Hors-service;;;;;48.110159,-1.640589;
187472376;187472376;Hors-service;;;;;48.063837,-1.700267;
166241530;166241530;En ligne;0057;57;0;;48.108537,-1.680206;-808
165240075;165240075;Hors-service;;;;;48.109917,-1.64443;
186470921;186470921;Hors-service;;;;;48.109517,-1.641555;
